text,rating,product_topic,label_ai_generated
I really love the colors and think they are really cute. My only issue is you have to be careful how you apply the product. When you apply it even the slightest bit to thick it tends to bubble up and cause the polish to bubble. Besides that I love it.,4,real_product,0
The non-greasy HydrateNow facial moisturizer effectively nourishes and smooths my skin overnight.,3,facial moisturizer,1
Not gonna lie these makeup brushes left me with mediocre results and a hefty price tag.,2,makeup brushes,1
"Overpriced and underwhelming, this sunscreen falls short in both quality and cost-effective value overall.",1,sunscreen,1
"This beard and mustache kit is a game changer, providing a complete set for a professional and well-groomed look every time, with a variety of tools and accessories at an affordable price.",5,beard/mustache grooming kit,1
Too expensive and it is not a good product,1,real_product,0
"The heat resistant gloves provided with this hair styling tool set were a pleasant surprise, but the product itself was a mixed bag, arriving with a damaged ceramic plate that rendered one of the interchangeable attachments useless.",3,hair styling tools,1
The extremely thin and brittle strands of hair on these extensions started to break and shed excessively after just one wear because they were not as advertised in terms of being full and luscious.,1,hair extensions/wigs,1
A lil week from the black part but good deal,3,real_product,0
And needs to condition your hair more to dry,1,real_product,0
"I was amazed by how quickly the fine lines around my eyes started to fade after just one week of using the serum, and I'm now pretty sure that the reason behind this is the incredible concentration of retinol and peptides that really seem to get absorbed into the skin without any greasiness or",5,skincare serum,1
very nice product i will buy many more bottles,5,real_product,0
A fun gift  for one who wants atattoo but cant aford it,4,real_product,0
"Be frugal with liquid soap on it as it'll take awhile to rinse out but otherwise, it works well.",5,real_product,0
"I bought this shampoo and conditioner set for myself, but unfortunately it hasn't really improved my dry scalp issues.",2,shampoo and conditioner,1
"I received this in the Alba/Tortoise color combination.  Although I have not worn it for a day, I will confirm that it has good flexibility yet strength of hold.  It is very elegant, dressy.  The celluloid acetate material is beautiful, if you appreciate the depth of the handmade materials...it is worth the extra price.  This in no way looks like dime-store plastic.  I did contact the seller with a question and their response was quick, courteous, OVERWHELMINGLY satisfying.  I highly recommend this item and company.",5,real_product,0
"While its moisturizing properties are impressive, this lotion's scent doesn't truly set it apart overall.",3,body lotion,1
"This press-on nail set is slightly better than the one I tried from Sally Hansen, but for the price, I expected a longer-lasting result.",3,nail polish/press-on nails,1
This is pretty a pretty awesome fan. Definitely satisfied with the purchase.,5,real_product,0
"The lash fibers on the false eyelashes are incredibly long and thick, making them quite convincing as natural lashes, however, the adhesive they come with tends to dry out quite quickly and may require multiple applications to achieve a secure hold, which is a bit inconvenient.",4,false eyelashes,1
"Overpriced, doesn't last all day, had to reapply multiple times throughout morning.",2,deodorant,1
Comfortable while I'm working.  Great for my back.  I would highly recommend the Saddle Stool.,5,real_product,0
Love this deodorant but was a bit shocked by minimal packaging and fast shipping.,4,deodorant,1
"Exceptional product arrived promptly, beautifully packaged, and exceeded my expectations with soft bristles and smooth applications.",5,makeup brushes,1
Bought this for my son. Looks high end. Great to have all the items elegantly displayed.,5,real_product,0
The beautifully designed packaging and fast delivery of the makeup brushes exceeded my expectations and showcased their exceptional quality and versatility.,3,makeup brushes,1
I first tried this deodorant when my friend brought from her trip to Australia. Otherwise I had never heard of it. This deodorant is mild and keeps me dry and fresh!,5,real_product,0
Great for shaving nicks & cuts..much better than a piece of tissue,5,real_product,0
These are so cute! Delivered on time however they delivered to my neighbors house luckily they brought it over for me.,5,real_product,0
They work fine. My nails are small therefore I had to trim them down.,5,real_product,0
"Not even worth the money, looks like a cheap fake thing on my head.",1,hair extensions/wigs,1
Best eyelashes ever! They stick really well and it lasts all day,5,real_product,0
"Left it on the counter for a week, still completely parched, not a single noticeable improvement in my skin.",1,facial moisturizer,1
The press-on nail application that was supposed to be long-lasting peeled off within a day because the adhesive was too weak and failed to securely attach to my natural nail.,1,nail polish/press-on nails,1
Goes on easily and smooth. Lasts all day. Also a great pencil for outlining and microblading.,5,real_product,0
"It's amazing to me some of the little things in life that make me so happy.  These bath scrubbers fall into that category! I ordered three to try then ordered 15 more.  I keep giving them to friends.  Somebody stop me...apparently the good ones are from japan, don't buy them if they're from china (they probably glow in the dark).  Anyway, this is a very heavy duty scrubber material and so far the one in my shower still looks and feels new, after a month.  The ones I bought at target would last a couple of weeks and were very thin and almost twice the price. These are the greatest. Buy them now in large quantities.",5,real_product,0
"""Ordered and arrived super fast, only thing is the cardboard box was kinda flimsy.""",4,deodorant,1
"It's fine, doesn't dry out my face too much but it's not super hydrating either, could be better but works okay.",3,facial moisturizer,1
Excelent product,3,real_product,0
"""Excellent value for $12 - my skin feels hydrated, supple and radiant all day long, great results no complaint.""",5,facial moisturizer,1
"I have used this kit several times- once when a tooth cracked and a piece fell of, and a couple of times to temporarily glue back a crown that had fallen off. The clove oil is helpful if the tooth is sensitive.<br /><br />It's very handy to have in the event of tooth emergencies, and I plan to take it on vacations as well as having it at home.",5,real_product,0
I was really looking forward to trying this kit but it completely fell flat.,1,beard/mustache grooming kit,1
Helped to exfoliate my dead skin and kept the lips moist.,5,real_product,0
"Comparing to the Revlon set, these brushes are somewhat stiffer, but for half the price they're an acceptable alternative.",2,makeup brushes,1
"Terrible value for the price, false eyelashes fell off after a few hours and were extremely uncomfortable to wear",1,false eyelashes,1
I noticed that this deodorant leaves a residue on my clothing which is something I didn't experience with other brands I've used.,2,deodorant,1
"This sunscreen leaves no white residue on my skin that I've come to expect from comparable products like Neutrogena Sheer Zinc Dry-Touch Sunscreen, and it actually absorbs quickly into my skin rather than feeling oily.",5,sunscreen,1
This was the 1st time we have gone to the beach and my son wasn't miserable by the end of  the trip,5,real_product,0
"These are on the smaller end of the spectrum as mesh sponges go. They lather pretty well and hold up nicely, though.",4,real_product,0
"Excellent cleaning brush Easy to clean, easy to hold and easy to use!!",5,real_product,0
Got really stuck in my teeth. Never has this experience with other ones,1,real_product,0
"Compared to the Remy hair extensions I've used before, these wig's unnatural-looking hairline and uneven stitching really stood out as subpar.",1,hair extensions/wigs,1
"This hair straightener was a huge disappointment for my sister, it completely fried her hair and didn't even give a decent straightening effect.",1,hair straightener,1
"""Definitely worth it, just wish the bottle was a bit smaller, 4 stars""",4,sunscreen,1
"I had a hard time finding a good brush, and when I bought these I was so happy.. they work so good and they come in a clear cylinder container so it makes it easier so the bristle doesn't mess up",5,real_product,0
"I bought this for myself and was really pleased with how well it hydrated my dry skin, especially in the winter months.",4,facial moisturizer,1
This was the perfect lashes for my grand entrance.,5,real_product,0
Purchased this hair oil for myself as an added moisture treatment it's somewhat effective but not a game changer for my dry ends.,3,hair oil/serum,1
"This hair is so bomb! When you first get it, it looks curly but it’s legit the prettiest wave pattern. Made mine into to closure unit and I’ve have no tangling or anything which is rare with this type of texture. Definitely recommend using a curly gel to define the curls",5,real_product,0
"Comparable to higher-end brands but a bit pricier, the quality is decent and installation is relatively easy, but not worth the extra cost for everyday use.",3,hair extensions/wigs,1
"Given its affordable price of under 10 dollars, this nourishing hair oil serum delivers exceptional hydration and shine to dry locks.",3,hair oil/serum,1
I love these! I have no idea who the pink princess is with the brown hair but she's cute! Not cheap looking at all and have lasted several months of wear!,5,real_product,0
It didnt come with the base and top coat or the liquid that you have to pit on the nail before the polish,2,real_product,0
"Comparable to Pantene, though not quite as effective at moisturizing dry ends, still a decent, everyday option.",2,shampoo and conditioner,1
I purchased this just yesterday and when the delivery came in I only received 4 pack of headband. This is ridiculous. I love the headband but now I guess I will have to return to get refund...,1,real_product,0
"I was really hoping for more from this kit, but it's just okay, some decent products though",2,beard/mustache grooming kit,1
"The files perform well, except the file began to peel and once I rinsed the file there was only smooth glass, no longer usable as a file.",3,real_product,0
The bow is all lopsided and messed up. What a waste of time and money. I’ll be returning it.,1,real_product,0
cuts well but use with caution. if one cuts nail too close to skin one can cut oneself.,3,real_product,0
I used 6 packs and was really awesome,5,real_product,0
I was really impressed with its hydration properties at first but it dries out my scalp by day two.,3,hair oil/serum,1
It did not maintain temperature. Cooled of and had to start over. Curls wouldn’t hold.,2,real_product,0
Brush is super soft and dog friendly. Easy to clean and gentle.,5,real_product,0
"The product did not work, and it irritated my eyes.",1,real_product,0
So cute! Fits perfectly. Does the job wonderfully.,5,real_product,0
I have tried a lot of products. This by far is the best,5,real_product,0
"Honestly, the scent of this shampoo and conditioner combination only lasts till your hair dries, making it a bit of a letdown despite its decent moisturizing properties.",2,shampoo and conditioner,1
"""Non-moisturizing 'hydrating' oil leaves my hair feeling super dry and dull, not even worth the small bottle price.""",1,hair oil/serum,1
"I was amazed by how well the individual lashes held a curl once I had applied my lash glue and let them dry, it's almost as if they're actually my own lashes now.",5,false eyelashes,1
Very good at removing those difficult stuck on stains.,5,real_product,0
"The seller was great and everything was as expected as far as the transaction. It's just the black polish was very hard to cure, probably due to the darkness of the color. I have a decent UV light and never had an issue with curing. This particular brand is very good and used at every nail salon I visit. I definitely recommend the brand and seller, just not this particular shade.",5,real_product,0
"""Speedy delivery, surprisingly sturdy packaging considering the delicate contents, excellent false eyelashes that last all night long.""",4,false eyelashes,1
"My  daughter and I like them so much. They are so comfortable that do n’t feel heavy, and they absorb moisture very quickly. Every time I dry most of the water with one of them, and then wrap it with the other. When I take it off, I find it is almost dry. It's perfect.",5,real_product,0
This beard and mustache grooming kit is a great value for money at under $20. The quality is good and the tools are well-made. A good starter kit for beginners or those on a budget. 4 stars.,4,beard/mustache grooming kit,1
"I received these within two days of ordering. The were both packaged just fine no issues at all with that. The individual pots are on a handy case which holds all of them. They are numbered on the bottom of each pot, which corresponds with the card included, which has instructions on one side and pictures of each powder on a nail on the other, with  numbers. I used 5 different powders this evening, playing with all my new stuff. Four of them were double sealed, all had tape around the pot, but the holographic one did not have an inner seal. No significant powder in the case.<br /><br />Method used: prepped nails for gel normally with base, cured, 2 coats of black cured after each, one coat of no wipe top coat, cured, rubbed in the powder with the brush provided, another no wipe to coat, cure, then regular top coat and cured. They are gorgeous.<br /><br />I used the silver on two nails, red on one, green on one, blue on two, and holo on two. I used another company's product on the other three. This is the best holo powder I've used so far. It shows the effect constantly. The other ones went on easily and I am very pleased with my results, they definitely are chrome enough that if I go get a pedicure with them on, I can guarantee I will be showing the employees this product on Amazon. They will ask, call each other over, and ask again and again. So far every time I go in with a chrome or holo powder on my fingernails, this happens.  I'm not a nail pro, I just do them for myself, and I could not be more pleased",5,real_product,0
"""total waste of money, burnt my hair and it's still broken.""",1,hair straightener,1
"You know, I thought face masks would be a game changer for my skin but honestly, they've just been piling up in my bathroom and not doing anything for my pores. One star.",1,face masks,1
I'm new to weaves this last 6 months and I've been trying different hair. This hair is pretty good. Next time I'll add a little more to make it a little thicker because I love big hair but the density feels very natural. The part looks amazingly natural.  I've been parting it more on the side.  I'd definitely order it again if need be.,5,real_product,0
"Llegó justo a tiempo. Para las Rebajas. La usaré mucho para comprar maquillaje, ropa, entre otras cosas",5,real_product,0
"Aloe Shield sunscreen provides excellent protection with a lightweight, non-greasy texture that glides smoothly on the skin.",1,sunscreen,1
I've purchased this type of product before that ended up being much smaller with not as many wires which proved useless. This is perfect to clean out my brushes.,5,real_product,0
Best hair spray I've ever used. Smells good too.,5,real_product,0
"It's super sturdy and thick! I used this for a musical, and it lasted 8 shows, plus me shoving bobby pins and alligator clips into it daily. I have it four stars because it does shed, but not much. It's also pretty shiny, but that was easily fixed with some baby powder and eyeshadow.",4,real_product,0
I first introduce to Label M products at hair salon many years ago...Love the products...glad to have found on Amazon...Superb hair products,5,real_product,0
not gonna lie this beard grooming kit is completely overpriced and doesn't even come with all the tools you need to keep your beard looking good.,1,beard/mustache grooming kit,1
Nice tool to add for straightening hair. Use a big tooth comb first if you have natural hair.,4,real_product,0
It does not stay on no matter what you do! I had to put electrical tape around it to keep it on.,2,real_product,0
"Delivered promptly and in cute packaging, love the compact press-on nail set, nails stayed put for a long weekend.",4,nail polish/press-on nails,1
It has some useful tools but the scissors are cheap and didn't hold an edge. Not the best value for the price.,2,beard/mustache grooming kit,1
"these hair extensions/wigs are a game changer, I was a bit skeptical at first but they look and feel amazing, definitely worth the investment, 4 out of 5 stars.",4,hair extensions/wigs,1
"Decent makeup brushes, did the job but not worth the price tag, would opt for lower end options next time.",3,makeup brushes,1
"These hair styling tools far surpass the competition, outperforming my previous favorite by delivering salon-quality results at a fraction of the cost, with ease of use and durability to match.",5,hair styling tools,1
"""Not gonna lie, these press-on nails are a game-changer with their decent quality and easy application.""",3,nail polish/press-on nails,1
"""Burned my face the moment I applied this - completely ineffective protection and a complete waste of money.""",1,sunscreen,1
No complaints very happy with these and the price is great too. Definitely try these especially is your on a budget.,5,real_product,0
"This straightening iron's temperature control is completely inaccurate, it burned my hair within the first two uses.",1,hair styling tools,1
I absolutely love these! Easy to hold and feel great to massage through my hair and scalp!,5,real_product,0
"Super cute and I like the size a lot BUT the end he’s are sharp, hard plastic the can cut your eye. It edges hurt",1,real_product,0
"As the headline says, I got exactly what I was looking for. For those who are wondering, the brush is pretty stiff at first. Wash it out and you will be able to use it just fine. And yes, it comes with stoppers.",5,real_product,0
"Got these extensions thinking they'd change my life, they kinda sorta did, but they shed a lot.",3,hair extensions/wigs,1
not good!do not waste your time and money,1,real_product,0
"Great value for the price, leaves hair feeling soft and smelling fresh without leaving residue.",4,shampoo and conditioner,1
Loved very expensive for to use every day but is very good,5,real_product,0
The packaging was sleek and on-time delivery was a plus but results were mediocre overall.,2,nail polish/press-on nails,1
"It’s a light scent fresh scent, but smell was not what was expected. It smells more like vanilla than anything, I was expecting a more tropical scent from Island Waves & Pineapple. I still wear it, but it’s not my favorite",2,real_product,0
"Not impressed, these extensions are a bit of a hassle to style and the quality could be better at this price point.",2,hair extensions/wigs,1
It works really well and I love it.,5,real_product,0
"""Just got my order in 2 days, love the cute packaging but some nubs were imperfect.""",4,nail polish/press-on nails,1
Press-on nails are a convenient and stylish way to achieve salon-quality results at home without the hassle or expense.,1,nail polish/press-on nails,1
Its ok,4,real_product,0
"Honestly underwhelming experience with the hair extensions, they arrived cheap looking and fell apart quickly.",2,hair extensions/wigs,1
I got the Item on time and its working very good.,4,real_product,0
Items came as describe . I got this for my mom as a present and she loved them,5,real_product,0
"They ship so ULTRA SONIC FAST, orderd on sat got here Monday . Product. Is so beast better then jojoba oil for streatching ..",5,real_product,0
"I used this to make my own sunscreen - it came quickly and worked great!  I spent a week in the Caribbean and did not get burned.  Super happy about that!  I combined it with zinc oxide powder as well, then used coconut oil with a few drops of vitamin E oil, and melted in some beeswax for stability.",4,real_product,0
"No me gustó porque las gomas se dañan a la primera luego ,intenté algunos diseños y ninguno se pudo hacer. No se si los diseños son poco profundos o la goma es muy dura pero no funciona .",1,real_product,0
"I'm a 46 year old grandmother and I still love this scent! So sweet, fresh and yummy!",5,real_product,0
This product will complete the outfit I will need for the holidays. It worked perfectly and will bring smiles to childrens faces. The material was soft and wont irritate my skin.,5,real_product,0
"Purchased for myself, this hair styling tool has exceeded expectations with its ease and effortless results every time.",5,hair styling tools,1
"Yes!!!  Beware this is a very pink red... which is exactly what I wanted.  It's not dry for a metallic and wears pretty long.  I will definitely buy another tube, or more.",5,real_product,0
These lashes were literally glued on wrong and kept falling off after 5 minutes of use.,1,false eyelashes,1
"I've noticed that my curl definition has been incredibly precise with this tool, and the way it seems to lock in those tight curls without needing too much effort reminded me of a salon-quality curling iron I had used a few years ago, but I have to say my experience with this product has been",5,hair styling tools,1
The Skin Renewal facial moisturizer outperforms its Olay counterpart with a significantly more hydrating and non-greasy texture.,2,facial moisturizer,1
"""Just received my hair extensions and I'm blown away by the quality and speed of shipping!""",5,hair extensions/wigs,1
"for the price i'm not entirely satisfied, the quality is okay but the selection is limited and doesn't last as long as expected.",3,nail polish/press-on nails,1
This is my first beard butter purchase and so far it meets my expectations. Ingredients are straightforward with no weird chemicals going on. Leaves my beard feeling really soft and has a nice natural appearance to it. The smell is really nice too; it's not straight up saw dust but definitely a subtle woodsy scent.,5,real_product,0
This beard/mustache grooming kit left me feeling underwhelmed with mediocre results at best overall.,2,beard/mustache grooming kit,1
"The serum arrived in a plain box with no instructions or product information. However, the formula is nice, does help with fine lines, but not worth the hassle of tracking down the manufacturer for customer support.",3,skincare serum,1
"This serum has genuinely transformed my skin, reducing fine lines and giving me a radiant, youthful glow instantly.",5,skincare serum,1
"""These are okay, hair comes out a lot when I take them out, so that's a bummer.""",3,hair extensions/wigs,1
"I enjoy this cuticle oil - The brush pen is a nice delivery system - Smells like Pink Sugar perfume, cotton candy sweet! Friendly seller - Quick shipping, even amidst COVID-19 situation. Already purchased another to gift my sister!",5,real_product,0
Daughter uses it 7 days a week and it's still working.,5,real_product,0
"This hair oil has been a total lifesaver, leaving my dry ends feeling incredibly nourished and manageable.",1,hair oil/serum,1
This lip salve has a pleasant taste and softens my lips. I will definitely buy again.,5,real_product,0
"The GHD Straightener is a game changer, effortlessly achieving salon-quality straight hair at home.",1,hair straightener,1
Gets the job done.  Works well with my dryer.,5,real_product,0
Had barely a month when it completely broke. Spring popped out as I was pinching and clipping into my hair.,1,real_product,0
"""it's okay, moisturizes but doesn't last all day and feels a bit greasy afterwards""",3,body lotion,1
"Purchased for myself. Total disappointment, dried out quickly and application was a nightmare, wasted my money on these.",1,nail polish/press-on nails,1
"""Ordered wrong product, received damaged packaging with barely enough product for one use.""",1,hair oil/serum,1
"Perfect size for my hair at this point.  Easy to use and comfortable, too.  Beats anything else I've tried!",5,real_product,0
"I just love this. So cute, nice place to rest my hand and great for pix with nail guests.",5,real_product,0
Loved this brush at first but I’ve only had it for less than 6 months and some of the little tops on the bristles have come off and it’s very painful to comb my hair now.  I purchased two of these brushes and it’s happening to both of them,1,real_product,0
"Works great, very happy and comes with a year warranty on product. Only thing is it starts pulling your hair after a while of using it but thats sort of expected",5,real_product,0
"I love these toothbrushes!  Just the right balance of firm & soft.  I can’t say for certain whether my teeth are whiter, but the texture of the bristles really makes my mouth feel clean!",5,real_product,0
"The compact, eco-friendly packaging and speedy delivery of Nourish Locks shampoo and conditioner caught my attention, and their exceptional moisturizing properties exceeded my expectations.",2,shampoo and conditioner,1
These false eyelashes are super easy to apply and look great on but the adhesive could be better.,4,false eyelashes,1
The facial moisturizer has a remarkably long shelf life considering its relatively cheap price point of around 10 dollars.,5,facial moisturizer,1
"This hair serum did a great job of reducing frizz, but I was disappointed by the limited fragrance options.",3,hair oil/serum,1
"Not gonna lie, these press-on nails are pretty decent for the price.",3,nail polish/press-on nails,1
"These are not very sturdy at all. The handles are super flimsy. Also, the big one at least, doesn’t really blend. It’s more like it pushes around the product. It’s a good price but you get what you pay for, I suppose.",2,real_product,0
"For the relatively low price, this sunscreen does a decent job at protecting my skin, but the lightweight formula could be a bit thicker and more moisturizing.",3,sunscreen,1
"""Disappointing lashes, band comes loose after a few wears, not worth the extra cash.""",2,false eyelashes,1
Please do not buy this they don't stick and and it came with 28 and it was suppose to come with 30. Please find a better seller.,1,real_product,0
Love it! Me and my daughter love these brushes they actually work we booth have long hair. It amazing,5,real_product,0
Thanks a mill I've received the item in great condition & works great.  Thanks,5,real_product,0
I loved the tape. I used to cover my chest with a V neck dress and the dress stayed perfectly in it's place. I felt secure and with no worries. My only objection is that when you take it off your skin for some reason (like if you're using a jumpsuit) it doesn't stick again. You must carry a second tape just in case,5,real_product,0
"It helps with drying after a bath while also removing some extra sheddy fur. It’s a bit loud, but not hair dryer loud, which is much easier on the pupper’s hearing.",5,real_product,0
"The compact storage box that comes with the kit does make it look sleek and organized, but the actual performance of the beard and mustache combs, balm, and oil leaves room for improvement.",3,beard/mustache grooming kit,1
This is a great product!  I lost all my hair from chemo and this regrowth is after only one month!  Smells great and absorbs nicely!  I highly recommend this product.,5,real_product,0
"These face masks far surpass similar products I've tried, providing a deeply nourishing and rejuvenating experience that leaves my skin feeling refreshed and revitalized.",5,face masks,1
"Horrible matting less than an hour after they were put in. Rough, dry, EXTREMELY BRITTLE!!!",1,real_product,0
This hair straightener outshines its competitors in the market with its smooth results and long-lasting heat.,2,hair straightener,1
"Not gonna lie, these hot irons burn my hair more often than they style it.",2,hair styling tools,1
"These are the best scrub towels EVER!! You feel 7.34 years younger just using it for one shower. After two you are practically 10 years younger!....but seriously, these are a great product. They shipped out quickly and were delivered on time.",5,real_product,0
This mirror is great! It’s the best mirror I have bought yet!,5,real_product,0
"Flavor on package indicates mint, but it’s vanilla flavored.",1,real_product,0
This sunscreen is a game changer due to its broad spectrum SPF and water resistance that easily lasts through a full day outdoors.,5,sunscreen,1
"I love this tool- it definitely took some getting use to but once I got it down, I was able to do my hair with just this one styling tool and not several to get my desired look. It gave me a soft wave in no time at all and it heats up so fast. LOVED this product!",5,real_product,0
"This silky body lotion deeply moisturizes skin, leaving it soft and hydrated for hours.",1,body lotion,1
"I love these! They were for a halloween costume and it turned out great! I was a fierce leapoard and my kid loved seeing mom's costume. After halloween, I used them to keep my hair out of my face when I wash my face or do my makeup. My 10 year old niece was visiting and borrowed the gold one for crazy hat/headband day. I have a feeling I won't see it at my house again, but seeing how much she loves it is worth it.",5,real_product,0
Ears fall off. Not a good manufactured product.,1,real_product,0
"I was pleasantly surprised to find that this serum's brightening ability is even more noticeable than a well-known high-end product I've tried before, Neutrogena Rapid Wrinkle Repair, and yet it's significantly more affordable.  Overall I gave it 4/5 stars because it does address",4,skincare serum,1
I use this 2x a day. Works pretty well before putting on my skin care routine.,5,real_product,0
"Excellent detangler.  Smooth, spaced out well, does not rip out hair.",5,real_product,0
This sunscreen has excellent water resistance that held up well during a prolonged beach day.,4,sunscreen,1
Color is way more light blueish in person then purple/blue in picture,4,real_product,0
"Total ripoff,  this serum is a fraction of the product it claims to be, not worth the extortionate $40 price tag.",1,skincare serum,1
love the texture and color just doesn't suit for my complexion. I have natural to yellow under tone skin. I think this color would work perfect on pink undertone pale skin.,4,real_product,0
"""Works okay for detangling, but leaves a greasy residue that takes a while to absorb into my hair.""",3,hair oil/serum,1
Definitely NOT as described not as long... Very very short and thin... DO NOT RECOMMEND,1,real_product,0
I love this particular color and use for leg waxing. Hands down the best brand for waxing! Legs & Underarms!,5,real_product,0
I purchased these makeup brushes for personal use as a novice makeup artist.  The quality was average and not worth the high price I paid for them.,2,makeup brushes,1
"I’ve used the battery operated one I bought for $30 from QVC for few years.  It ate through batteries, including  rechargeables. When I finally decided to buy the rechargeable for $65 it was no longer available.  Then I found it on Amazon for the same price I paid for the battery operated model!  This one is SO much more powerful you can get the job done 75% faster.  And don’t waste your money on the blue rollers.  The green ones work better.",5,real_product,0
"""Delayed shipping, finally got product which failed to clean & frizz control as promised.""",1,shampoo and conditioner,1
Every one in my pack was defective.  The dispenser part wasn’t glued in well.  It fell off on everyone.  Annoying and expensive because the wipes dried up.,1,real_product,0
I've been wearing them nonstop since I realized how much clearer my skin can be overnight with them.,5,face masks,1
"Purchased as a gift, this kit has exceeded expectations, transforming my partner's beard into a stunning work of art every day.",4,beard/mustache grooming kit,1
"I was particularly impressed with how easily the facial moisturizer absorbed into my skin, but I deduct a star for its slightly greasy texture that lingers after application.",4,facial moisturizer,1
